company_name,company_ticker,entity_name,company_cik,2022,2021,2020
1-800-FLOWERS.COM CL A,FLWS,1 800 FLOWERS COM INC (FLWS),0001084869,https://www.sec.gov/Archives/edgar/data/1084869/000143774922022580/flws20220626_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774921021879/flws20210627_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774920019622/flws20200628b_10k.htm
10X GENOMICS,TXG,"10x Genomics, Inc. (TXG)",0001770787,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/txg-20211231.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000009/txg-20201231.htm,https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/d849320d10k.htm
1LIFE HEALTHCARE,ONEM,1Life Healthcare Inc,0001404123,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/onem-20211231.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/onem-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/onem-10k_20191231.htm
1ST SOURCE,SRCE,1ST SOURCE CORP (SRCE),0000034782,https://www.sec.gov/Archives/edgar/data/34782/000003478222000038/source-20211231.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478221000036/source-20201231.htm,https://www.sec.gov/Archives/edgar/data/34782/000003478220000035/sce-20191231x10k.htm
1STDIBS.COM,DIBS,"1stdibs.com, Inc. (DIBS)",0001600641,https://www.sec.gov/Archives/edgar/data/1600641/000160064122000023/dibs-20211231.htm,,
22ND CENTURY GROUP INC.,XXII,"22nd Century Group, Inc. (XXII)",0001347858,https://www.sec.gov/Archives/edgar/data/1347858/000155837022002452/xxii-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837021002771/xxii-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347858/000110465920031934/tm2053191_10k.htm
23ANDME HOLDING CO,ME,23andMe Holding Co. (ME),0001804591,https://www.sec.gov/Archives/edgar/data/1804591/000095017022010852/me-20220331.htm,https://www.sec.gov/Archives/edgar/data/1804591/000119312521092793/d119190d10k.htm,
2SEVENTY BIO,TSVT,"2seventy bio, Inc. (TSVT)",0001860782,https://www.sec.gov/Archives/edgar/data/1860782/000186078222000005/tsvt-20211231.htm,,
2U,TWOU,"2U, Inc. (TWOU)",0001459417,https://www.sec.gov/Archives/edgar/data/1459417/000145941722000004/twou-20211231.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/twou-20201231.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/a2u201910-k.htm
3-D SYSTEMS,DDD,3D SYSTEMS CORP (DDD),0000910638,https://www.sec.gov/Archives/edgar/data/910638/000091063822000013/ddd-20211231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063821000008/ddd-20201231.htm,https://www.sec.gov/Archives/edgar/data/910638/000091063820000010/ddd-20191231.htm
3M COMPANY,MMM,3M CO (MMM),0000066740,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/mmm-20211231.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/mmm-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
4D MOLECULAR THERAPEUTICS,FDMT,"4D Molecular Therapeutics, Inc. (FDMT)",0001650648,https://www.sec.gov/Archives/edgar/data/1650648/000095017022004794/fdmt-20211231.htm,https://www.sec.gov/Archives/edgar/data/1650648/000156459021015502/fdmt-10k_20201231.htm,
5E ADVANCED MATERIALS INC,FEAM,"5E Advanced Materials, Inc. (FEAM)",0001888654,https://www.sec.gov/Archives/edgar/data/1888654/000119312522253257/d382761d10k.htm,,
8X8,EGHT,8X8 INC /DE/ (EGHT),0001023731,https://www.sec.gov/Archives/edgar/data/1023731/000102373122000087/eght-20220331.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/eght-20210331.htm,https://www.sec.gov/Archives/edgar/data/1023731/000102373120000049/a8x8331202010-k.htm
908 DEVICES,MASS,908 Devices Inc. (MASS),0001555279,https://www.sec.gov/Archives/edgar/data/1555279/000155837022003363/mass-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1555279/000110465921044397/tm2110439d1_10k.htm,
A K A BRANDS HOLDING,AKA,A.K.A. BRANDS HOLDING CORP. (AKA),0001865107,https://www.sec.gov/Archives/edgar/data/1865107/000186510722000033/aka-20211231.htm,,
A10 NETWORKS,ATEN,"A10 Networks, Inc. (ATEN)",0001580808,https://www.sec.gov/Archives/edgar/data/1580808/000158080822000053/aten-20211231.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080821000043/aten-20201231.htm,https://www.sec.gov/Archives/edgar/data/1580808/000158080820000014/a1231201910-k.htm
AADI BIOSCIENCE INC,AADI,"Aadi Bioscience, Inc. (AADI)",0001422142,https://www.sec.gov/Archives/edgar/data/1422142/000156459022010721/aadi-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459021012252/arpo-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459020011174/arpo-10k_20191231.htm
AAON INC,AAON,"AAON, INC. (AAON)",0000824142,https://www.sec.gov/Archives/edgar/data/824142/000082414222000034/aaon-20211231.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414221000030/aaon-20201231.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414220000025/aaon-20191231.htm
AAR CORP,AIR,AAR CORP (AIR),0000001750,https://www.sec.gov/Archives/edgar/data/1750/000110465922081498/air-20220531x10k.htm,https://www.sec.gov/Archives/edgar/data/1750/000110465921094125/air-20210531x10k.htm,https://www.sec.gov/Archives/edgar/data/1750/000110465920085310/air-20200531x10k.htm
ABBOTT LABORATORIES,ABT,ABBOTT LABORATORIES (ABT),0000001800,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
ABBVIE INC,ABBV,AbbVie Inc. (ABBV),0001551152,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm
ABCELLERA BIOLOGICS,ABCL,AbCellera Biologics Inc. (ABCL),0001703057,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/abcl-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/abcl-10k_20201231.htm,
ABERCROMBIE & FITCH A,ANF,ABERCROMBIE & FITCH CO /DE/ (ANF),0001018840,https://www.sec.gov/Archives/edgar/data/1018840/000101884022000011/anf-20220129.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884021000023/anf-20210130.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884020000021/a201910-k.htm
ABIOMED INC,ABMD,ABIOMED INC,0000815094,https://www.sec.gov/Archives/edgar/data/815094/000095017022010402/abmd-20220331.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459021029314/abmd-10k_20210331.htm,https://www.sec.gov/Archives/edgar/data/815094/000156459020026547/abmd-10k_20200331.htm
ABM INDUSTRIES INC,ABM,ABM INDUSTRIES INC /DE/ (ABM),0000771497,https://www.sec.gov/Archives/edgar/data/771497/000077149722000028/abm-20221031.htm,https://www.sec.gov/Archives/edgar/data/771497/000077149721000038/abm-20211031.htm,https://www.sec.gov/Archives/edgar/data/771497/000077149720000018/abm-20201031.htm
ABSCI,ABSI,Absci Corp (ABSI),0001672688,https://www.sec.gov/Archives/edgar/data/1672688/000162828022006925/absi-20211231.htm,,
ACADEMY SPORTS AND OUTDOORS,ASO,"Academy Sports & Outdoors, Inc. (ASO)",0001817358,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/aso-20220129.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/aso-20210130.htm,
